id,name,group,district
1399,Pia Lohikoski,Left Alliance Parliamentary Group,Uusimaa
511,Pia Viitanen,Social Democratic Parliamentary Group,Pirkanmaa
1394,Pihla Keto-Huovinen,Parliamentary Group of the National Coalition Party,Uusimaa
1447,Piritta Rantanen,Social Democratic Parliamentary Group,Central Finland
1405,Pirkka-Pekka Petelius,Green Parliamentary Group,Uusimaa
499,Päivi Räsänen,Christian Democratic Parliamentary Group,Häme
1051,Raimo Piirainen,Social Democratic Parliamentary Group,Oulu
1344,Rami Lehto,The Finns Party Parliamentary Group,Häme
1392,Riikka Purra,The Finns Party Parliamentary Group,Uusimaa
1393,Riikka Slunga-Poutsalo,The Finns Party Parliamentary Group,Uusimaa
1380,Riitta Mäkinen,Social Democratic Parliamentary Group,Central Finland
1395,Ruut Sjöblom,Parliamentary Group of the National Coalition Party,Uusimaa
1403,Saara Hyrkkö,Green Parliamentary Group,Uusimaa
1219,Saara-Sofia Sirén,Parliamentary Group of the National Coalition Party,Varsinais-Suomi
1419,Sakari Puisto,The Finns Party Parliamentary Group,Pirkanmaa
1314,Sami Savio,The Finns Party Parliamentary Group,Pirkanmaa
1406,Sandra Bergqvist,Swedish Parliamentary Group,Varsinais-Suomi
1434,Sanna Antikainen,The Finns Party Parliamentary Group,Savo-Karelia
1297,Sanna Marin,Social Democratic Parliamentary Group,Pirkanmaa
1100,Sanni Grahn-Laasonen,Parliamentary Group of the National Coalition Party,Häme
778,Sari Essayah,Christian Democratic Parliamentary Group,Savo-Karelia
1299,Sari Multala,Parliamentary Group of the National Coalition Party,Uusimaa
612,Sari Sarkomaa,Parliamentary Group of the National Coalition Party,Helsinki
1325,Sari Tanus,Christian Democratic Parliamentary Group,Pirkanmaa
363,Satu Hassi,Green Parliamentary Group,Pirkanmaa
1451,Sebastian Tynkkynen,The Finns Party Parliamentary Group,Oulu
1430,Seppo Eskelinen,Social Democratic Parliamentary Group,Savo-Karelia
1426,Sheikki Laakso,The Finns Party Parliamentary Group,Southeast Finland
1131,Sinuhe Wallinheimo,Parliamentary Group of the National Coalition Party,Central Finland
887,Sirpa Paatero,Social Democratic Parliamentary Group,Southeast Finland
1134,Sofia Vikman,Parliamentary Group of the National Coalition Party,Pirkanmaa
1411,Sofia Virta,Green Parliamentary Group,Varsinais-Suomi
1144,Suna Kymäläinen,Social Democratic Parliamentary Group,Southeast Finland
451,Tarja Filatov,Social Democratic Parliamentary Group,Häme
1389,Terhi Koulumies,Parliamentary Group of the National Coalition Party,Helsinki
923,Thomas Blomqvist,Swedish Parliamentary Group,Uusimaa
1401,Tiina Elo,Green Parliamentary Group,Uusimaa
1326,Timo Harakka,Social Democratic Parliamentary Group,Uusimaa
967,Timo Heinonen,Parliamentary Group of the National Coalition Party,Häme
175,Toimi Kankaanniemi,The Finns Party Parliamentary Group,Central Finland
1095,Tom Packalén,The Finns Party Parliamentary Group,Helsinki
1468,Tuomas Kettunen,Centre Party Parliamentary Group,Oulu
538,Tuula Haatainen,Social Democratic Parliamentary Group,Helsinki
794,Tuula Väätäinen,Social Democratic Parliamentary Group,Savo-Karelia
1126,Tytti Tuppurainen,Social Democratic Parliamentary Group,Oulu
1418,Veijo Niemi,The Finns Party Parliamentary Group,Pirkanmaa
1420,Veikko Vallin,The Finns Party Parliamentary Group,Pirkanmaa
1374,Veronica Rehn-Kivi,Swedish Parliamentary Group,Uusimaa
1383,Veronika Honkasalo,Left Alliance Parliamentary Group,Helsinki
1409,Vilhelm Junnila,The Finns Party Parliamentary Group,Varsinais-Suomi
1425,Ville Kaunisto,Parliamentary Group of the National Coalition Party,Southeast Finland
1316,Ville Skinnari,Social Democratic Parliamentary Group,Häme
1327,Ville Tavio,The Finns Party Parliamentary Group,Varsinais-Suomi
1136,Ville Vähämäki,The Finns Party Parliamentary Group,Oulu
1282,Wille Rydman,Parliamentary Group of the National Coalition Party,Helsinki
