@@,id,name,group,district
---,917,Paavo Arhinmäki,Left Alliance Parliamentary Group,Helsinki
---,1330,Juhana Vartiainen,Parliamentary Group of the National Coalition Party,Helsinki
---,1421,Anna-Kaisa Ikonen,Parliamentary Group of the National Coalition Party,Pirkanmaa
+++,1480,Jari Kinnunen,Parliamentary Group of the National Coalition Party,Pirkanmaa
+++,778,Sari Essayah,Christian Democratic Parliamentary Group,Varsinais-Suomi
+++,1479,Suldaan Said Ahmed,Left Alliance Parliamentary Group,Helsinki
+++,1481,Atte Kaleva,Parliamentary Group of the National Coalition Party,Helsinki
